,ID,Title,URL,Dates,Date Range,Description,Subjects_one,Subjects_two,Subjects_three,Subjects_four,Subjects_five,Subjects_six,Subjects_seven,Subjects_eight,Subjects_nine,Subjects_ten,Subjects_eleven,Subjects_twelve,Subjects_grouped,Location_one,Location_two,Location_three,Location_four,Location_five,Locations_grouped
23,37a931245d3a6913477a75111a322f71," 'To revise and codify the nationality laws of the United States into a comprehensive nationality code Hearings before the Committee on immigration and naturalization, House of representatives, Seventy-sixth Congress, first session, on H. R. 6127, superseded by H. R. 9980, a bill to revise and codify the nationality laws of the United States into a comprehensive nationality code. January 17, February 13, 20, 27, 28, March 5, April 11, 16, 23, May 2, 3, 7, 9, 13, 14, and June 5, 1940...' ",http://catalog.hathitrust.org/Record/001749285,1945,1940-1950," 'Samuel Dickstein, chairman.' ",   Naturalization--United States  ,    Citizenship--United States  ,,,,,,,,,,,   Naturalization--United States      Citizenship--United States  ,   United States  ,,,,,   United States  
24,e730dae8f88802861385c51fcc87b454," 'Poor-laws of Massachusetts and New York, with appendices containing the United States immigration and contract-labor laws; by John Cummings' ",http://catalog.hathitrust.org/Record/001742711,1895,1890-1900,,   Poor laws--New York (State)  ,    Poor laws--Massachusetts  ,"    United States--Laws, statutes,  etc  ", ,,,,,,,,,"   Poor laws--New York (State)      Poor laws--Massachusetts      United States--Laws, statutes,  etc   ",   United States  ,    New York (State)  ,    Massachusetts  ,,,   United States      New York (State)      Massachusetts  
25,da1c552a6dd77fc6f7e35b2fdaa4b3eb, 'Colonial immigration laws; a study of the regulation of immigration by the English colonies in America...' ,http://catalog.hathitrust.org/Record/001755259,1900,1900-1910," 'Pub. also as Studies in history, economics and public law, v. 12, no. 2.', 'Vita.', 'Thesis (PH. D.)--Columbia university.' ",   Emigration and immigration law--United States  ,,,,,,,,,,,,   Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
26,e6beadfd8aa57dfeeae7e107548a4b20," 'Immigration laws : Act of February 5, 1917 : rules of May 1, 1917' ",http://catalog.hathitrust.org/Record/101715127,1917,1910-1920," '""Map showing Asiatic zone prescribed in section three of Immigration Act, the natives of which are excluded from the United State, with certain exceptions"" -- Folded and inserted between pages  32 -33.', 'At head of title: U. S. Department of Labor, Bureau of Immigration.', 'Cover title.' ",   Emigration and immigration law--United States  ,,,,,,,,,,,,   Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
27,dec39789184f6fa326edac3060b493fe," 'Immigration laws and regulations : April 9, 1900' ",http://catalog.hathitrust.org/Record/100348318,1900,1900-1910, 'Final set of instructions prepared by Bureau of Immigration.' ,   Emigration and immigration law--United States  ,,,,,,,,,,,,   Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
28,a0a271a5e968ef4fd511cc7f035a1838," 'Immigration laws and regulations, March 11, 1893' ",http://catalog.hathitrust.org/Record/100429383,1893,1890-1900,,,,,,,,,,,,,,,nan,,,,,nan
29,621c8b315e66a0e6005612df6b16e0d9, 'Foreign students and the immigration laws of the United States' ,http://catalog.hathitrust.org/Record/002046029,1930,1930-1940, 'At head of title: Institute of international education.' ,   Emigration and immigration law--United States  ,    Students  ,,,,,,,,,,,   Emigration and immigration law--United States      Students  ,   United States  ,,,,,   United States  
30,a83d7a0d4d74d5976c575fdff8572ad6," 'Proposed changes in naturalization laws : hearings before the Committee on Immigration and Naturalization, House of Representatives, Sixty-sixth Congress, first session' ",http://catalog.hathitrust.org/Record/100404605,1919,1910-1920," 'Part 5 has the subtitle ""Substitution of qualified witnesses, etc. ... H.R. 9314, October 13, 1919, Statement of Hon. Edward Voigt.""', 'Part 4 has the subtitle ""Naturalization of aliens who waived exemption ... H.R. 9930, October 21, 1919, Statement of Hon. John Jacob Rogers.""', 'Part 3 has the subtitle ""Registration and americanization of aliens ...H.R. 3911, October 18, 1919, Statement of Mrs. Mattie B. Tucker.""', 'Part I has the subtitle ""Naturalization of soldiers of allied armies ...H.R. 5212, October 9, 1919, Statement of Hon. Frederick W. Dallinger.""' ",   Naturalization--United States  ,,,,,,,,,,,,   Naturalization--United States  ,   United States  ,,,,,   United States  
31,8985764ee1de5f8c5eff29fb5d83f5e2," 'Articles of incorporation and by-laws of the Immigration association of California Incorporated November 18, 1881...' ",http://catalog.hathitrust.org/Record/009603792,1882,1880-1890,,   California--Emigration and immigration  ,,,,,,,,,,,,   California--Emigration and immigration  ,   California  ,,,,,   California  
32,bc494b7328c11eec47b764febaa9e49a," 'Immigration laws : Act of Feb. 5, 1917, and acts approved Oct. 16, 1918, Oct. 19, 1918, May 10, 1920, June 5, 1920, Dec. 26, 1920, and May 19, 1921 : Rules of May 1, 1917' ",http://catalog.hathitrust.org/Record/100347316,1921,1920-1930," 'Includes index.', 'Includes amendments to Rules 1, 4, 12, 13, 16, 22, and 31, and Regulations under acts approved December 26, 1920 and May 19, 1921.', 'At head of title: U.S. Department of labor ... Bureau of immigration ...' ",,,,,,,,,,,,,,nan,,,,,nan
33,435d944ae40b9c846199ba03e85206f8," 'Immigration laws : immigration rules and regulations of January 1, 1930, as amended up to and including December 31, 1936' ",http://catalog.hathitrust.org/Record/101715128,1937,1930-1940," 'Includes index.', '""This edition supersedes all previous editions.""', 'At head of title: United States Department of Labor, Frances Perkins, Secretary; Immigration and Naturalization Service, D. W. MacCormack, Commissioner.' ",   Emigration and immigration law--United States  ,,,,,,,,,,,,   Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
34,a49cccd957c8e03ab1808b696f1a07a9," 'Immigration laws and regulations of July 1, 1907' ",http://catalog.hathitrust.org/Record/100765991,1910,1910-1920, 'At head of title: Department of commerce and labor. Bureau of immigration and naturalization.' ,   Emigration and immigration law  ,    Emigration and immigration law--United States  ,    United States  ,,,,,,,,,,   Emigration and immigration law      Emigration and immigration law--United States      United States  ,   United States  ,,,,,   United States  
35,b9916a2eb7f78fd0286023b1fe183592," 'Codification of the regulations and orders for the government of American Samoa Customs, immigration and harbor regulations, American Samoa. Printed for the use of the American Samoan Commission, 1931', 'Laws, etc. (American Samoa code annotated)' ",http://catalog.hathitrust.org/Record/006176013,1931,1930-1940," '""(By A. M. Noble, judge of the high and district courts, by order of and under the supervision of W. Evans, governor, and revised by succeeding governors to October, 1930)""--p.iii.', 'At head of title: American Samoa.' ",   Law--American Samoa  ,    American Samoa--Politics and government  ,,,,,,,,,,,   Law--American Samoa      American Samoa--Politics and government  ,   American Samoa  ,,,,,   American Samoa  
36,7bcb847e6578fbc17fad793138c0a5fe," 'Compilation from the records of the Bureau of Immigration of facts concerning the enforcement of the Chinese-exclusion laws letter from the Secretary of Commerce and Labor, submitting, in response to the inquiry of the House, a report as to the enforcement of the Chinese-exclusion laws' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990067798120203941,1906,1890-1900," '""May 23, 1906: Referred to the Committee on Foreign Affairs and ordered to be printed.""', 'Includes index.' ",   Emigration and immigration law  ,    Chinese  ,,,,,,,,,,,   Emigration and immigration law      Chinese  ,   United States  ,,,,,   United States  
37,02e463b688cc36d78a24b27d6beb6ca7, 'The laws and regulations restricting Chinese immigration to the Hawaiian Islands' ,http://catalog.hathitrust.org/Record/101789256,1893,1890-1900,,   Chinese--Hawaii  ,    Emigration and immigration law--Hawaii  ,,,,,,,,,,,   Chinese--Hawaii      Emigration and immigration law--Hawaii  ,   Hawaii  ,,,,,   Hawaii  
38,cd269ed9dd313a588681469b55dac88c," 'Immigration laws and regulations of July 1, 1907' ",http://catalog.hathitrust.org/Record/101715130,1909,1900-1910," '""Embodying amendments to rules 4, 24, and statistical rule 23.""', '""Approved December 15, 1909.""', 'At head of title: Department of Commerce and Labor, Bureau of Immigration and Naturalization.' ",   Emigration and immigration law--United States  ,,,,,,,,,,,,   Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
39,094d94d7e602b9b7aa192656a9d57a8b, 'A bill to amend the immigration laws of the United States' ,https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990099803060203941,1897,1890-1900," 'Caption title.', 'At head of title: 55th Congress, 1st session, H.R. 74, in the House of Representatives.', '""March 15, 1897. Mr. Corliss introduced the following bill; which was referred to the Committee on Immigration and Naturalization and ordered to be printed.""' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
40,25ae9086e51385ee39ed976af91ad7f8," 'S. 1490, in the Senate of the United States December 13, 1899, Mr. Fairbanks introduced the following bill, which was read twice and referred to the Committee on Immigration : a bill to amend the immigration laws of the United States relative to the insane' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100017190203941,1899,1890-1900," 'Caption title.', 'At head of title: 56th Congress, 1st session.' ",   Emigration and immigration laws  ,    Mentally ill  ,    Immigrants  ,    Emigration and immigration  ,,,,,,,,,   Emigration and immigration laws      Mentally ill      Immigrants      Emigration and immigration  ,   United States  ,,,,,   United States  
41,faf487b11a6b6f865c1e3827e2f032c5," 'Report of the Commission of Immigration of the State of New York appointed pursuant to the provisions of chapter 210 of the laws of 1908, transmitted to the legislature April 5, 1909' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990090834950203941,1909,1900-1910," 'Louis Marshall, chairman.', 'Includes bibliographical references and index.' ",   Emigration and immigration law  ,    Immigrants  ,    Social conditions  ,    Economic conditions  ,    Emigration and immigration  ,,,,,,,,   Emigration and immigration law      Immigrants      Social conditions      Economic conditions      Emigration and immigration  ,   New York (State)  ,,,,,   New York (State)  
42,896abb74341496777effd3ee91117ea6," 'In the Senate of the United States May 10, 1890, ordered to be printed : Mr. Chandler, from the Committee on Immigration, submitted the following report : receipts and expenditures in administering United States immigration laws under contract with the New York and other state boards' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990112911410203941,1890,1890-1900," 'Caption title.', 'At head of title: 51st Congress, 1st session.' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
43,4f32f092eae72fa8b6f76ea0f0de89c3, 'Insanity and the immigration law' ,http://catalog.hathitrust.org/Record/100338829,1911,1900-1910," '""Reprint from N.Y. State Hospitals Bulletin, November, 1911""--Cover.', 'Cover title.' ",   Emigration and immigration law--United States  ,    Insanity (Law)--United States  ,    United States--Emigration and immigration  ,,,,,,,,,,   Emigration and immigration law--United States      Insanity (Law)--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
44,1be53b59997bbb79ee3713f9fd8ec6d1," ""Status under immigration law of minor children of naturalized citizens born prior to parent's naturalization"" ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990099793870203941,1913,1910-1920, 'Caption title.' ,   Minors  ,    Emigration and immigration law  ,    Citizenship  ,,,,,,,,,,   Minors      Emigration and immigration law      Citizenship  ,   United States  ,,,,,   United States  
45,8c216b7da6539edbf448f44e61c621fd," 'Amending Chinese exclusion laws : letter from the secretary of the treasury, transmitting, with the draft of a bill, copy of a letter from the commissioner-general of immigration relating to amendment of the laws relating to deportation of Chinese' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990099826050203941,1901,1900-1910, 'Caption title.' ,   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
46,6a50242b24cce93bdf7906894b2284fd," 'S. 600, in the Senate of the United States December 6, 1899, Mr. Perkins introduced the following bill, which was read twice and referred to the Committee on Immigration : a bill to extend the laws regulating immigration over the Hawaiian Islands ceded to the United States' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100016640203941,1899,1890-1900," 'Caption title.', 'At head of title: 56th Congress, 1st session.' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,    Hawaii  ,,,,   United States      Hawaii  
47,aee91b6e103e5ec844b3656fc672c5f9," 'Amendment of immigration laws February 8, 1901, Mr. Adams, from the Committee on Immigration and Naturalization, submitted the following report (to accompany H.R. 13605)' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100026920203941,1901,1900-1910," 'Caption title.', '""February 8, 1901.--Referred to the House Calendar and ordered printed""--p.  1 .' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
48,9f83da6b30c5b82435abd5f09d436873," 'Immigration laws rules of November 15, 1911' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100076930203941,1912,1910-1920, 'Includes bibliographical references and index.' ,   Emigration and immigration law  ,,,,,,,,,,,,   Emigration and immigration law  ,   United States  ,,,,,   United States  
49,4c4c848947cd250b8cfa137be9f39ec8," 'S. 1164, in the Senate of the United States December 4, 1893 : Mr. Peffer introduced the following bill, which was read twice and referred to the Committee on Immigration : a bill to amend the immigration and naturalization laws' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100118870203941,1894,1890-1900," 'Caption title.', 'At head of title: 53d Congress, 2d session.' ",   Naturalization  ,    Emigration and immigration law  ,    Consular documents  ,    Emigration and immigration  ,,,,,,,,,   Naturalization      Emigration and immigration law      Consular documents      Emigration and immigration  ,   United States  ,,,,,   United States  
50,1597d248175795b016984b8355553c77," 'S. 185, in the Senate of the United States December 4, 1901, Mr. Fairbanks introduced the following bill, which was read twice and referred to the Committee on Immigration : a bill to extend the laws prohibiting and regulating the coming of Chinese persons into the United States' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100125010203941,1901,1900-1910," 'Caption title.', 'At head of title: 57th Congress, 1st session.' ",   Chinese  ,    Immigrants  ,    Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,   Chinese      Immigrants      Emigration and immigration law      Emigration and immigration  ,   United States  ,    China  ,,,,   United States      China  
51,a154771ff167598ae4d35755e612d80a, 'Memorandum of commissioner of immigration and naturalization to the Committee on immigration of the Senate and the Committee on immigration and naturalization of the House of representatives relative to certain proposed changes in the immigration law' ,http://catalog.hathitrust.org/Record/001755285,1934,1930-1940," 'D.W. MacCormack, commissioner of immigration and naturalization.', '""Originally submitted April 24, 1934. Amended following hearings in House Committee on immigration and naturalization, May 8-10, 1934.""', 'At head of title: United States Department of labor. Immigration and naturalization service.' ",   Aliens--United States  ,    United States--Emigration and immigration  ,,,,,,,,,,,   Aliens--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
52,e94b9a0a15e158943f045869f9a30b90," 'Study of immigration and naturalization laws and problems : hearings ... Seventy-ninth Congress, first session, pursuant to H. Res. 52 authorizing a study of immigration and natuaralization laws and problems' ",http://catalog.hathitrust.org/Record/100665763,1945,1940-1950,,   Naturalization--United States  ,    United States--Emigration and immigration  ,,,,,,,,,,,   Naturalization--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
